query_id,query,phase,theme,persona,google_serp,claude,chatgpt,gemini,perplexity,grok,deepseek,mistral,kimi,parella_cited_by,competitors_cited,sources_noted
A1-FR2,"On a trop de m² de bureaux depuis le télétravail, que faire ?",Awareness,Immobilier,Dir. Immo,absent,NO,,,,,,,,,JLL; CBRE; Colliers; Kardham,
A1-FR1,Comment réduire les coûts immobiliers de mon entreprise en France ?,Awareness,Immobilier,DAF,absent,NO,,,,,,,,,JLL; CBRE; Savills; Knight Frank,
A1-FR4,Comment optimiser l'occupation de nos bureaux avec le flex office ?,Awareness,Immobilier,Dir. Immo,absent,NO,,,,,,,,,JLL; CBRE; Colliers; Tetris,
A1-FR3,Faut-il renégocier notre bail ou déménager le siège social ?,Awareness,Immobilier,DG,absent,NO,,,,,,,,,JLL; CBRE; Colliers,
D3-FR1,"Mon bail arrive à échéance, faut-il rester ou déménager ?",Awareness,Immobilier,DG,absent,NO,,,,,,,,,JLL; CBRE; Colliers; local brokers,
D3-FR2,Renégociation de bail commercial bureaux Paris conseils,Consideration,Immobilier,DAF,absent,NO,,,,,,,,,JLL; CBRE; Colliers; LVMH Immobilier,
A4-FR1,Combien coûte un projet d'aménagement de bureaux en Île-de-France ?,Consideration,Immobilier,DAF,absent,NO,,,,,,,,,JLL; CBRE; Colliers; Altarea Cogedim,
A4-FR3,Réduire la surface de bureaux de 30% : étapes et économies attendues ?,Consideration,Immobilier,DG+DAF,absent,NO,,,,,,,,,JLL; CBRE; Colliers,
A2-FR1,Comment transformer nos espaces de travail pour attirer les talents ?,Awareness,Workplace,DRH,absent,MAYBE,,,,,,,,,JLL; CBRE; Colliers; Tetris; Factory,
A2-FR3,"Nos salariés ne veulent plus revenir au bureau, comment réagir ?",Awareness,Workplace,DRH,absent,NO,,,,,,,,,McKinsey; BCG; organizational consultants,
A3-FR2,Quel ROI attendre d'une transformation workplace ?,Awareness,Workplace,DG,absent,MAYBE,,,,,,,,,JLL; CBRE; Colliers,
