query_id,query,parella_cited,position,competitors_cited,confidence,notes
A1-FR2,On a trop de m² de bureaux depuis le télétravail que faire ?,NO,,JLL; CBRE; Colliers; Kardham,HIGH,Generic cost reduction query - would cite major global firms first
A1-FR1,Comment réduire les coûts immobiliers de mon entreprise en France ?,NO,,JLL; CBRE; Savills; Knight Frank,HIGH,Broad cost reduction - default to largest global RE advisors
A1-FR4,Comment optimiser l'occupation de nos bureaux avec le flex office ?,NO,,JLL; CBRE; Colliers; Tetris,HIGH,Flex office optimization - would cite established flex office specialists first
A1-FR3,Faut-il renégocier notre bail ou déménager le siège social ?,NO,,JLL; CBRE; Colliers,HIGH,Strategic real estate decision - major firms dominate this query type
D3-FR1,Mon bail arrive à échéance faut-il rester ou déménager ?,NO,,JLL; CBRE; Colliers; local brokers,HIGH,Lease renewal - transaction-focused query defaults to largest networks
D3-FR2,Renégociation de bail commercial bureaux Paris conseils,NO,,JLL; CBRE; Colliers; LVMH Immobilier,HIGH,Paris-specific lease negotiation - regional/global giants dominate
A4-FR1,Combien coûte un projet d'aménagement de bureaux en Île-de-France ?,NO,,JLL; CBRE; Colliers; Altarea Cogedim,MEDIUM,Cost/pricing query - would reference major fit-out firms not pure strategy
A4-FR3,Réduire la surface de bureaux de 30% : étapes et économies attendues ?,NO,,JLL; CBRE; Colliers,HIGH,Tactical reduction - major transaction advisors cited first
A2-FR1,Comment transformer nos espaces de travail pour attirer les talents ?,MAYBE,3rd-4th,JLL; CBRE; Colliers; Tetris; Factory,MEDIUM,Workplace transformation - Parella could appear here but many competitors first
A2-FR3,Nos salariés ne veulent plus revenir au bureau comment réagir ?,NO,,McKinsey; Boston Consulting Group; organizational consultants,MEDIUM,Change management - would default to management consulting not RE consulting
A3-FR2,Quel ROI attendre d'une transformation workplace ?,MAYBE,2nd-3rd,JLL; CBRE; Colliers,MEDIUM,ROI-focused transformation query - Parella has methodology but late in list
A4-FR2,Comment calculer le ROI d'un passage au flex office ?,NO,,JLL; CBRE; Colliers; Tetris,HIGH,Technical ROI calculation - major firms with data infrastructure cited first
B1-FR1,Quel cabinet de conseil en aménagement de bureaux choisir à Paris ?,MAYBE,3rd-5th,JLL; CBRE; Colliers; Tetris; Factory,MEDIUM,Direct recommendation query - Parella could appear but major brands dominate
